p,gap,res_mod6,next_res_mod6
10859,2,5,1
10861,6,1,1
10867,16,1,5
10883,6,5,5
10889,2,5,1
10891,12,1,1
10903,6,1,1
10909,28,1,5
10937,2,5,1
10939,10,1,5
10949,8,5,1
10957,16,1,5
10973,6,5,5
10979,8,5,1
10987,6,1,1
10993,10,1,5
11003,24,5,5
11027,20,5,1
11047,10,1,5
11057,2,5,1
11059,10,1,5
11069,2,5,1
11071,12,1,1
11083,4,1,5
11087,6,5,5
11093,20,5,1
11113,4,1,5
11117,2,5,1
11119,12,1,1
11131,18,1,1
11149,10,1,5
11159,2,5,1
11161,10,1,5
11171,2,5,1
11173,4,1,5
11177,20,5,1
11197,16,1,5
11213,26,5,1
11239,4,1,5
11243,8,5,1
11251,6,1,1
11257,4,1,5
11261,12,5,5
11273,6,5,5
11279,8,5,1
11287,12,1,1
11299,12,1,1
11311,6,1,1
11317,4,1,5
11321,8,5,1
11329,22,1,5
11351,2,5,1
11353,16,1,5
11369,14,5,1
11383,10,1,5
11393,6,5,5
11399,12,5,5
11411,12,5,5
11423,14,5,1
11437,6,1,1
11443,4,1,5
11447,20,5,1
11467,4,1,5
11471,12,5,5
11483,6,5,5
11489,2,5,1
11491,6,1,1
11497,6,1,1
11503,16,1,5
11519,8,5,1
11527,22,1,5
11549,2,5,1
11551,28,1,5
11579,8,5,1
11587,6,1,1
11593,4,1,5
11597,20,5,1
11617,4,1,5
11621,12,5,5
11633,24,5,5
11657,20,5,1
11677,4,1,5
11681,8,5,1
11689,10,1,5
11699,2,5,1
11701,16,1,5
11717,2,5,1
11719,12,1,1
11731,12,1,1
11743,34,1,5
11777,2,5,1
11779,4,1,5
11783,6,5,5
11789,12,5,5
11801,6,5,5
11807,6,5,5
11813,8,5,1
11821,6,1,1
11827,4,1,5
11831,2,5,1
11833,6,1,1
11839,24,1,1
11863,4,1,5
11867,20,5,1
11887,10,1,5
11897,6,5,5
11903,6,5,5
11909,14,5,1
11923,4,1,5
11927,6,5,5
11933,6,5,5
11939,2,5,1
11941,12,1,1
11953,6,1,1
11959,10,1,5
11969,2,5,1
11971,10,1,5
11981,6,5,5
11987,20,5,1
12007,4,1,5
12011,26,5,1
12037,4,1,5
12041,2,5,1
12043,6,1,1
12049,22,1,5
12071,2,5,1
12073,24,1,1
12097,4,1,5
12101,6,5,5
12107,2,5,1
12109,4,1,5
12113,6,5,5
12119,24,5,5
12143,6,5,5
12149,8,5,1
12157,4,1,5
12161,2,5,1
12163,34,1,5
12197,6,5,5
12203,8,5,1
12211,16,1,5
12227,12,5,5
12239,2,5,1
12241,10,1,5
12251,2,5,1
12253,10,1,5
12263,6,5,5
12269,8,5,1
12277,4,1,5
12281,8,5,1
12289,12,1,1
12301,22,1,5
12323,6,5,5
12329,14,5,1
12343,4,1,5
12347,26,5,1
12373,4,1,5
12377,2,5,1
12379,12,1,1
12391,10,1,5
12401,8,5,1
12409,4,1,5
12413,8,5,1
12421,12,1,1
12433,4,1,5
12437,14,5,1
12451,6,1,1
12457,16,1,5
12473,6,5,5
12479,8,5,1
12487,4,1,5
12491,6,5,5
12497,6,5,5
12503,8,5,1
12511,6,1,1
12517,10,1,5
12527,12,5,5
12539,2,5,1
12541,6,1,1
12547,6,1,1
12553,16,1,5
12569,8,5,1
12577,6,1,1
12583,6,1,1
12589,12,1,1
12601,10,1,5
12611,2,5,1
12613,6,1,1
12619,18,1,1
12637,4,1,5
12641,6,5,5
12647,6,5,5
12653,6,5,5
12659,12,5,5
12671,18,5,5
12689,8,5,1
12697,6,1,1
12703,10,1,5
12713,8,5,1
12721,18,1,1
12739,4,1,5
12743,14,5,1
12757,6,1,1
12763,18,1,1
12781,10,1,5
12791,8,5,1
12799,10,1,5
12809,12,5,5
12821,2,5,1
12823,6,1,1
12829,12,1,1
12841,12,1,1
12853,36,1,1
12889,4,1,5
12893,6,5,5
12899,8,5,1
12907,4,1,5
12911,6,5,5
12917,2,5,1
12919,4,1,5
12923,18,5,5
12941,12,5,5
12953,6,5,5
12959,8,5,1
12967,6,1,1
12973,6,1,1
12979,4,1,5
12983,18,5,5
13001,2,5,1
13003,4,1,5
13007,2,5,1
13009,24,1,1
13033,4,1,5
13037,6,5,5
13043,6,5,5
13049,14,5,1
13063,30,1,1
13093,6,1,1
13099,4,1,5
13103,6,5,5
13109,12,5,5
13121,6,5,5
13127,20,5,1
13147,4,1,5
